parent,child,parent_gidx,child_gidx,parent_name,child_name,pair_type,parent_layer,child_layer,layer_gap,gidx_gap,rho_i,rho_o,rho
6_gate,6_down,47,48,gate,down,gate->down,6,6,0,1,0.8637368984205207,0.48973589635222314,0.4230029641604628
2_down,3_up,20,25,down,up,down->up,2,3,1,5,0.8054801894739761,0.5241148034906873,0.42216409122179455
8_gate,9_down,61,69,gate,down,gate->down,8,9,1,8,0.9496208350165476,0.4440850150314776,0.4217123827925279
9_down,10_up,69,74,down,up,down->up,9,10,1,5,0.9579885710055317,0.43961901186862523,0.42114998896688816
14_o,14_up,101,102,o,up,o->up,14,14,0,1,0.9381933609946587,0.44880363752537145,0.42106459311655675
1_q,1_v,7,9,q,v,q->v,1,1,0,2,0.9428212219215014,0.44550502550597143,0.4200315925197096
13_v,14_down,93,104,v,down,v->down,13,14,1,11,0.664015170964975,0.6324827091839025,0.41997811427113957
15_v,15_down,107,111,v,down,v->down,15,15,0,4,0.9503138970730476,0.44150026021014954,0.4195638328390718
11_v,11_down,79,83,v,down,v->down,11,11,0,4,0.8718773729960011,0.4807688699655323,0.4191714993638044
13_v,14_gate,93,103,v,gate,v->gate,13,14,1,10,0.9120254681698382,0.4568731231854346,0.41667992406741217
2_up,3_down,18,27,up,down,up->down,2,3,1,9,0.872515720683089,0.4758297381319328,0.4151689268886289
6_down,7_up,48,53,down,up,down->up,6,7,1,5,0.8708598824527615,0.47441115830399533,0.4131456455548958
13_v,14_up,93,102,v,up,v->up,13,14,1,9,0.9158285198785954,0.4500339037287965,0.41215388394713
14_o,14_down,101,104,o,down,o->down,14,14,0,3,0.6471264385789925,0.6363180429750802,0.411778228954018
9_v,9_down,65,69,v,down,v->down,9,9,0,4,0.90849473888774,0.45238900271280974,0.4109930288952592
11_up,11_down,81,83,up,down,up->down,11,11,0,2,0.9444364445039104,0.43423891406987863,0.41011105606939524
11_o,12_v,80,86,o,v,o->v,11,12,1,6,0.8240617080471873,0.4976177732990608,0.41006775221946207
5_o,6_down,38,48,o,down,o->down,5,6,1,10,0.8240132731335919,0.49468392534237593,0.40762612048794455
9_down,10_v,69,72,down,v,down->v,9,10,1,3,0.9237601380155476,0.44079602458253986,0.4071897965050717
5_o,5_down,38,41,o,down,o->down,5,5,0,3,0.7905673480614107,0.5149482200739356,0.40710124873279496
0_q,0_up,0,4,q,up,q->up,0,0,0,4,0.6138358607373059,0.6629470051765732,0.406940645545781
9_up,10_v,67,72,up,v,up->v,9,10,1,5,0.9201321000412003,0.4398899444685922,0.4047568583908927
8_down,9_up,62,67,down,up,down->up,8,9,1,5,0.9563206760193758,0.4216555288754167,0.4032379004214459
4_o,5_gate,31,40,o,gate,o->gate,4,5,1,9,0.8444002353521657,0.4771516059582157,0.40290692836978115
15_up,15_down,109,111,up,down,up->down,15,15,0,2,0.9388334058487758,0.4284261579515982,0.40222078902440456
8_down,9_o,62,66,down,o,down->o,8,9,1,4,0.8293196886940342,0.48445209315501153,0.4017656590824874
10_v,11_down,72,83,v,down,v->down,10,11,1,11,0.9192629562430092,0.4367558339494563,0.401493459072758
5_gate,6_o,40,45,gate,o,gate->o,5,6,1,5,0.8950410913345098,0.4472836708845,0.4003372649245686
11_down,12_gate,83,89,down,gate,down->gate,11,12,1,6,0.8513409085458875,0.4686330224677393,0.3989664631222905
10_v,11_gate,72,82,v,gate,v->gate,10,11,1,10,0.8981708503763947,0.44244332901639644,0.39738970106601973
0_q,0_gate,0,5,q,gate,q->gate,0,0,0,5,0.6136386843065964,0.6460571783536301,0.39644567691175364
13_q,14_v,91,100,q,v,q->v,13,14,1,9,0.7630252563696323,0.5187663245148897,0.39583180775890553
14_down,15_gate,104,110,down,gate,down->gate,14,15,1,6,0.9649853927516887,0.4100653068249629,0.39570703116032857
12_v,13_up,86,95,v,up,v->up,12,13,1,9,0.8824903320943225,0.4473910378667207,0.39481826558302596
14_gate,15_v,103,107,gate,v,gate->v,14,15,1,4,0.9329426287545903,0.4222832772020703,0.39396607071200285
11_down,12_up,83,88,down,up,down->up,11,12,1,5,0.9141571833196795,0.42861568785679344,0.39182210993779326
12_up,13_down,88,97,up,down,up->down,12,13,1,9,0.9310951918070736,0.42054382576880417,0.39156633411748526
14_v,15_down,100,111,v,down,v->down,14,15,1,11,0.7959328242183867,0.4913396100417984,0.3910733234709294
6_gate,7_down,47,55,gate,down,gate->down,6,7,1,8,0.781936722224069,0.4990988534854587,0.3902637215602104
6_down,7_gate,48,54,down,gate,down->gate,6,7,1,6,0.8426162158399517,0.4628657054796731,0.39001814919337174
10_gate,11_down,75,83,gate,down,gate->down,10,11,1,8,0.9325404227282151,0.41469193493183837,0.386716992303318
11_gate,12_v,82,86,gate,v,gate->v,11,12,1,4,0.8786945768172855,0.43920795014615865,0.3859296438884663
0_v,0_up,2,4,v,up,v->up,0,0,0,2,0.7543357609725387,0.5097290515104385,0.384506851960937
14_v,15_gate,100,110,v,gate,v->gate,14,15,1,10,0.955172554465713,0.40085602652288493,0.38288667482683963
12_v,13_gate,86,96,v,gate,v->gate,12,13,1,10,0.8778031335292281,0.43582944530448564,0.38257245277258284
9_down,10_gate,69,75,down,gate,down->gate,9,10,1,6,0.9363173734109993,0.4078438211686599,0.38187125539854494
6_v,6_down,44,48,v,down,v->down,6,6,0,4,0.7576144998146753,0.5036812009739445,0.38159618114192995
2_down,3_v,20,23,down,v,down->v,2,3,1,3,0.7677551814270168,0.49360784730029533,0.37896998235783746
10_o,11_v,73,79,o,v,o->v,10,11,1,6,0.764597788483709,0.4950437524856947,0.3785093583532388
15_gate,15_down,110,111,gate,down,gate->down,15,15,0,1,0.9627942665272312,0.3925502239889943,0.3779451049805841
8_q,9_v,56,65,q,v,q->v,8,9,1,9,0.9718931383994178,0.38788541853386566,0.3769831767582504
3_v,4_o,23,31,v,o,v->o,3,4,1,8,0.6421437754185433,0.5856217850546271,0.3760533840223249
14_up,15_v,102,107,up,v,up->v,14,15,1,5,0.9363031022462224,0.40131967921380785,0.3757568606403471
8_q,8_up,56,60,q,up,q->up,8,8,0,4,0.9766893375178286,0.3844301226425045,0.3754688018056053
9_gate,9_down,68,69,gate,down,gate->down,9,9,0,1,0.9432476683051436,0.39763177247121867,0.3750652422275184
13_v,14_q,93,98,v,q,v->q,13,14,1,5,0.9233110405326592,0.40550427833851477,0.37440657717317916
6_v,7_down,44,55,v,down,v->down,6,7,1,11,0.7233816847237016,0.5132469206740832,0.3712734221564703
0_v,0_gate,2,5,v,gate,v->gate,0,0,0,3,0.7334637934495647,0.5023816965686079,0.36847878492483926
14_q,14_down,98,104,q,down,q->down,14,14,0,6,0.9796275257680077,0.37534797986348056,0.36770121281568147
14_q,14_v,98,100,q,v,q->v,14,14,0,2,0.9678293460788453,0.3781834558095764,0.36601704673402025
7_up,8_q,53,56,up,q,up->q,7,8,1,3,0.9835976540845153,0.37019979831191996,0.36412765316216517
